SUID,shared name,name,selected,Name,GS_DESCR,GS_Type,Genes,gs_size,pvalue,fdr_qvalue,fwer_qvalue,ES,NES,Colouring
2363,GO:0009152,GO:0009152,FALSE,GO:0009152,purine ribonucleotide biosynthetic process,ENR,CND01180|CND02320|CNA07740|CNG00380|CNN00440|CNB02350|CNJ00180|CNL04890|CNI03300|CNN01260|CND04800|CNJ00800|CND05020|CNN02130|CNB04580|CNG02790|CNG03070|CNE00200|CNK02180|CNE00750|CNL05600|CNC00990|CND02450|CNA02840|CNE02210|CNN01560|CNE02500|CNE02610|CNC03570|CNA04240|CNE03180|CNK03420|CNC03840|CNA05160|CNC04050|CNC04140|CNC04700|CNC04750|CNC04810|CNF02180|CNC05260|CNA06790|CNC05720|CNF04450|CND03280|CNA07900|CNG00840|CNF02280|CNA01310|CNB00330|CNG03020|CNF00570|CND00160|CNF00630|CND00340|CND00480,56,0.0154,0.1772,1,-0.5616,-1.5558,-0.9846
2364,GO:0034471,GO:0034471,FALSE,GO:0034471,ncRNA 5'-end processing,ENR,CNF00090|CNJ01990|CNC02800|CNI01060|CNE01670|CNN01800|CNC02570|CNB00450|CNA01540|CNC05910|CNG03270|CNG04380|CNL05200,13,0.0082,0.1105,0.9763,-0.7959,-1.6593,-0.9918
2365,GO:0034470,GO:0034470,FALSE,GO:0034470,ncRNA processing,ENR,CNA02760|CND02650|CND02710|CNB00500|CND02780|CND02860|CNF01240|CND03550|CND00800|CNF01580|CNE01090|CNK02250|CNE01440|CNC05170|CND01140|CNF00100|CNF00150|CNF02520|CNI01900|CNJ00670|CNM00110|CNC02800|CNI01060|CNN01800|CNE02810|CNE03310|CNE04140|CNE04710|CNB00200|CNB05340|CNC05120|CNA00760|CNB00250|CNC01870|CNE02590|CNG00280|CNG02370|CNG03590|CNH01430|CNJ02050|CNJ03280|CNF03320|CNK00420|CNK00740|CNC01370|CNF03730|CNH03600|CNI00670|CNN00820|CNB02860|CNG00720|CNG01105|CNA04950|CNG02010|CNG02060|CNB02830|CNC00500|CNC02820|CNC05710|CNG02770|CND03120|CNE01670|CNG01700|CNH02690|CNJ01380|CNB00450|CNG03650|CND06280|CNF00670|CNG00800|CNG04380|CNA03820|CNI02150|CNA05950|CNI04340|CNB04270|CNC04270|CNH00280|CNC06160|CND05970|CNE03090|CNE04150|CNE04595|CNF00550|CNF02620|CNH00130|CNH00715|CNH00410|CNI04200|CNK00950|CNK02080|CNL05330|CNL06320|CNA00790|CNA08280|CNC02010|CND02660|CNH02400|CNH02460|CNH02470|CNH02710|CNF01680|CNH03230|CNL06350|CND04940|CND05300|CNF01810|CNG02350|CNI01120|CNJ02640|CNK02890|CND00130|CNA02240|CNA04140|CNE02870|CNI00050|CNB04410|CNE01870|CNA00090|CNA02220|CNA03160|CNA05400|CNA07590|CNC02570|CNJ00090|CNA08360|CNB03050|CNC00010|CNJ00650|CNC01770|CNN00090|CNN01880|CNC06110|CNJ01590|CND03220|CNJ02290|CNA01290|CNK00460|CND05500|CNF04910|CNG01500|CNG04690|CNH00060|CNK01970|CNI02920|CNI03430|CNI03670|CNI04230|CNA03460|CNJ02650|CNK02595|CNA03780|CNJ03360|CNL03890|CNN01500|CNN02440|CNC01760|CNC05820|CNJ00840|CNK00570|CNL04620|CND03670|CNE00310|CNL04720|CNE04260|CNA07420|CNL05410|CNB00340|CNB00610|CNB01130|CNM02050|CNN00120|CNN00700|CNN00830|CNB03110|CNA01540|CND03780|CND04200|CNG03270|CNI01730|CNL05200|CND04240|CNN01780|CNC03940|CND05090|CNE01810|CNA01840|CNB04100|CNB01260|CNB04640|CNC04880|CND00460|CNE00590|CNE01200|CNF02230|CNH01340|CNM01320|CNN00480|CNA05930|CNA05935|CNA07030|CNB05580|CNA07530|CNA08230|CNB00040|CNB00540|CNB03080|CNC00100|CNB01060|CNB01090|CNB02750|CNC00240|CNB05270|CNB05450|CNC02190|CNC02340|CNC05910|CNC06360|CNC01375|CND02790|CND04480|CND05510|CNE02190|CNE03760|CNC01960|CNF04700|CNG01210|CNG02245|CNG02250|CNG02830|CNG02910|CNG03720|CNH02180|CNI01530|CNI01790|CNI02850|CNL04010|CNM00140|CNM00160|CNN00950|CNA02480|CNC03650|CNN01370|CNA06360|CNB02220|CNA07490|CNB02570|CNB05130|CNC04220|CNB05160|CNC05560|CNC01420|CND02475|CNA04300|CNC04020|CNC03070|CNC06340|CND01790|CNE03920|CNC04520|CND02300|CNH02040|CND02470|CNA06840|CND02940|CNE01710|CNE03320|CNE03520|CNA03390|CNF00090|CNF03010|CNC05030|CNF04820|CNI01820|CNI03970|CNJ00110|CNJ01990|CNJ02130|CNK00110|CNN01050|CNC06740,281,0,0,0,-0.6269,-2.1941,-1
2366,GO:0006164,GO:0006164,FALSE,GO:0006164,purine nucleotide biosynthetic process,ENR,CND01180|CND02320|CNA07740|CNG00380|CNN00440|CNB02350|CNJ00180|CNL04890|CNI03300|CNN01260|CND04800|CNJ00800|CND05020|CNN02130|CNB04580|CNG02440|CNG02790|CNH00330|CNG03070|CNE00200|CNK02180|CNE00750|CNL05600|CNC00990|CND02450|CNA02840|CNE02210|CNN01560|CNE02500|CNE02610|CNC03570|CNA04240|CNE03180|CNK03420|CNC03840|CNA05160|CNC04050|CNC04140|CNC04700|CNC04750|CNC04810|CNF02180|CNC05260|CNA06790|CNC05720|CNF04450|CND03280|CNA07900|CNG00840|CNF02280|CNA01310|CNB00330|CNG03020|CNF00570|CND00160|CNF00630|CND00340|CND00480,58,0.0137,0.1765,1,-0.5616,-1.5579,-0.9863
2367,GO:0042254,GO:0042254,FALSE,GO:0042254,ribosome biogenesis,ENR,CNA02760|CND02650|CND02710|CND02780|CND02860|CNF01240|CND03550|CNE04980|CND00800|CNF01580|CNE01090|CNE01440|CNJ00230|CNJ02260|CNJ03110|CNL05120|CNE04710|CNB00200|CNB05340|CNC05120|CNF03320|CNA05860|CNA06180|CNA07310|CNA07990|CNC02150|CNA08220|CNA04950|CNB00600|CNA06470|CNB01910|CNH00700|CNB02360|CNK01450|CNB02830|CNB03680|CNC00350|CNC00500|CNC01060|CNC01630|CNC00790|CNC02820|CNC01210|CNC03010|CNC05360|CNC03480|CNC05710|CNC06990|CNG02770|CND03120|CND05450|CNE01670|CNE03060|CNG00300|CNG01700|CNG02920|CNH02690|CNJ01380|CNJ03370|CND02550|CNK02240|CNB00450|CNG03650|CNC06100|CND02960|CND06280|CND05640|CNF00670|CNF01650|CNF03840|CNG00800|CNG02740|CNG04380|CNI02150|CNI04340|CNF02580|CNK01950|CNH00280|CNK03230|CNG01950|CNH01320|CNA00790|CNA08280|CNI01830|CNC02010|CNI02510|CND02660|CNH02400|CNB05030|CNH02460|CNH02470|CNF01680|CNF01790|CNL06350|CNK01340|CND04940|CND05300|CNF01810|CNG02350|CNI01120|CNJ02640|CNK02890|CNM02290|CNA00090|CNA02220|CNA03160|CNA05400|CNA06980|CNA07330|CNC00330|CNC01470|CNA07590|CNC02570|CNJ00090|CNA08360|CND03210|CND04460|CNE02890|CNB03050|CNF04670|CNG01660|CNG02750|CNG04080|CNC00010|CNI03640|CNJ00650|CNC01770|CNK01600|CNN00090|CNN01880|CNC06110|CNJ01590|CNF02550|CND03220|CNJ02290|CNA01290|CNK00460|CNF04910|CNG01500|CNG04690|CNH00060|CNI02920|CNI03430|CNI03670|CNJ02650|CNK02595|CNA03780|CNJ03360|CNL03890|CNN01500|CNN02440|CNL04620|CNL04720|CNA07420|CNB00340|CNB00610|CNM02050|CNN00120|CNN00700|CNB03110|CNA01540|CND03780|CND04200|CNG03270|CNI01730|CNL05200|CND04240|CNN01780|CNC03940|CND05090|CNE01810|CNA01840|CNB04100|CNB01260|CNB04640|CNC04880|CND00460|CNE00590|CNE01200|CNF02230|CNH01340|CNM01320|CNN00480|CNA05930|CNA05935|CNA07030|CNB05580|CNA07530|CNA08230|CNB00040|CNB00540|CNB03080|CNC00100|CNB01060|CNB01090|CNB02750|CNC00240|CNB05270|CNB05450|CNC02190|CNC02340|CNC05910|CNC06360|CND02790|CND04480|CND05510|CNE02190|CNE03760|CNC01960|CNF04700|CNG01210|CNG02245|CNG02250|CNG02830|CNG02910|CNG03720|CNH02180|CNI01530|CNI01790|CNI02850|CNL04010|CNM00140|CNM00160|CNN00950|CNA02480|CNN01370|CNA00950|CNA06360|CNB02220|CNA07490|CNB02570|CNB05130|CNC04220|CNB05160|CNC05560|CNC01420|CND02475|CNA04300|CNC04020|CNC03070|CNC06340|CND01790|CNE03920|CNC04520|CND02300|CNH02040|CND02470|CNA06840|CND02940|CNE01050|CNE01710|CNE03320|CNE03520|CNF00090|CNF03010|CNA00330|CNF04820|CNI01820|CNI03970|CNJ00110|CNJ01990|CNJ02130|CNK00110|CNN01050|CNA07980|CNB05550|CNB04500,267,0,0,0,-0.7013,-2.4196,-1
2368,GO:0004386,GO:0004386,FALSE,GO:0004386,helicase activity,ENR,CND00630|CNC06510|CNM01980|CNM02050|CNE01490|CNM01820|CNN01100|CNK01830|CNB01640|CND02650|CNA05570|CNA06980|CNC02960|CNA05940|CNA06640|CNC02830|CNB05090|CNA07200|CNB02210|CNF01240|CNJ00220|CNB01970|CNI02710|CNH02480|CNA01540|CNB05040|CNC02390|CND05090|CND00900|CNJ01590|CND06010|CNA00900|CNE00590|CNA08010|CNE02430|CNB05350|CNH02690|CNA07030|CNB04510|CNC04970|CNG03650|CNC00100|CNF03920|CNB01060|CNF04330|CNG01650|CNC02340|CNC06360|CND06190|CNG02090|CNG02380|CNH00280|CNA02850|CNK02030|CNH00610|CNC03180|CNI02850|CNA03560|CNK03090|CNC03680|CNA07620|CNA07860|CNE03980|CNH02470|CNI01000|CNA00990|CNA06840|CNE04710|CNL04590|CNE05150|CNB01380|CNC04645|CNI03620|CNA07420|CNB01550|CNC06460|CNI00970|CNB05360|CNC04400|CND00110|CNF01550|CNI01550|CNL04770|CNG02235|CNI01880|CNM01670|CNB00610,87,0.0031,0.0055,0.0541,-0.6831,-1.9716,-0.9969
2369,GO:0042255,GO:0042255,FALSE,GO:0042255,ribosome assembly,ENR,CNK03230|CNC02150|CNA04950|CNA06470|CNJ00650|CNB01910|CNB02360|CNB02830|CNC00350|CNC00500|CNC01060|CNC01630|CNA00330|CNC02820|CNC03010|CNC05360|CNC05710|CNC06990|CND03120|CND05450|CNE04980|CNE01670|CNE03060|CNG00300|CNG01700|CNG02920|CNH02690|CNJ01380|CNJ03370|CNK02240|CNB00450|CNC06100|CND02960|CNB01090|CND06280|CNK00460|CNF00670|CNF01650|CNF03840|CNG00800|CNG02740|CNB05550|CNG04380|CNI02150|CNI04340|CNK01950,46,0.0025,0.0375,0.5237,-0.671,-1.8093,-0.9975
2370,GO:0042773,GO:0042773,FALSE,GO:0042773,ATP synthesis coupled electron transport,ENR,CNG00860|CNG02210|CNH02730|CNH02740|CNA03530|CNI03270|CNA04680|CNA06950|CNK03240|CNA07460|CNL04280|CNB00800|CNL04470|CNB01310|CNL04890|CNL05510|CNB03500|CNL05770|CNC02900|CNM01400|CNC02910|CNC05480|CNN01330|CNC07090|CND04070|CND04430|CNE02310|CNF00630|CNF03560,29,0.0041,0.1416,0.9993,0.8509,1.5,0.9959
2371,GO:0006325,GO:0006325,FALSE,GO:0006325,chromatin organization,ENR,CND00570|CND03645|CNL05000|CNI04050|CNA07200|CND03210|CND03540|CND03810|CNJ00880|CNJ01000|CNF01960|CNJ01070|CND04550|CNA03600|CND05070|CNE03030|CNA00540|CND05720|CND06010|CND06060|CND06080|CND06310|CND06400|CNA08010|CNE00290|CNA00750|CNA01030|CNI02960|CNC01750|CNE01470|CNK01010|CND02890|CND04050|CNI01640|CNK02030|CNI02950|CNI03430|CNE02550|CNH00200|CNE03830|CNE03080|CNE04020|CNF02840|CNA05430|CNG01230|CNL04590|CNF02070|CNA06110|CND02730|CNK02230|CNH03410|CNL05260|CNA07190|CNH02110|CNL06440|CNB00050|CNC05650|CNM01210|CNB00490|CNB00550|CNF03680|CNB00690|CNA06390|CNA06550|CNE01490|CNF04210|CNK01830|CNL04080|CNF01870|CNG00240|CNC05330|CNB02210|CNI03050|CNM01520|CNN00500|CNG00620|CNI03280|CNN00920|CNG01620|CNB03160|CNB03930|CNB03940|CNB04370|CNC04880|CNA06970|CNA03420|CNB00560|CNG02900|CNB00570|CNB05610|CNC00880|CNB05320|CNC01110|CNC01610|CNE04440|CNJ02540|CNA00400|CNG03620|CNL05670|CNA02600|CNA03250|CNA03280|CND04490|CNA06400|CNB03140|CNC00780|CNC00180|CNG03810|CNC03710|CNC05900|CND03610|CNG03880|CND04210|CNC01000|CND03250|CND05870|CNC01040|CNE01600|CNE02860|CNF02300|CNC01390|CNE02030|CNF03800|CNE04500|CNG00510|CNG02500|CNE05140|CNG02800|CNG04320|CNC02060|CNF01740|CNG04490|CNF02900|CNH00720|CNH00900|CNH01775|CNJ00250|CNC02310|CNH02640|CNH00410|CNI01070|CNH00940|CNI02470|CNH00950|CNI03440|CNJ02940|CNK01390|CNK02410|CNL05320|CNM00780|CNN01180|CNN01755|CNH02010|CNC04460|CNH02510|CNA00990|CNA06840|CNH03520|CNC05310|CNJ02130|CNK00110|CNC06140|CNB05360|CNI00980|CNF01550,165,0,0.1521,0.9991,-0.4759,-1.5901,-1
2372,GO:0042775,GO:0042775,FALSE,GO:0042775,mitochondrial ATP synthesis coupled electron transport,ENR,CNG00860|CNG02210|CNH02730|CNH02740|CNA03530|CNI03270|CNA04680|CNA06950|CNK03240|CNA07460|CNL04280|CNB00800|CNL04470|CNL04890|CNL05510|CNB03500|CNL05770|CNC02900|CNM01400|CNC02910|CNC05480|CNN01330|CNC07090|CND04070|CND04430|CNE02310|CNF00630|CNF03560,28,0.0085,0.1831,0.9998,0.8448,1.4846,0.9915
