SUID,shared name,name,selected,Name,GS_DESCR,GS_Type,Genes,gs_size,pvalue,fdr_qvalue,fwer_qvalue,ES,NES,Colouring
4638,GO:0016128,GO:0016128,FALSE,GO:0016128,phytosteroid metabolic process,ENR,CNB03100|CNJ00460|CNC02410|CNM00100|CNC04470|CNC05080|CNC05660|CNC06200|CND01320|CND02520|CND06110|CNA00300|CNF01130|CNA01070|CNA01960|CNF03720|CNF04830|CNG02670|CNA08290|CNH01240,20,0.0414,0.1936,1,-0.6599,-1.5431,-0.9586
4639,GO:0034470,GO:0034470,FALSE,GO:0034470,ncRNA processing,ENR,CNA02760|CND02650|CND02710|CNB00500|CND02780|CND02860|CNF01240|CND03550|CND00800|CNF01580|CNE01090|CNK02250|CNE01440|CNC05170|CND01140|CNF00100|CNF00150|CNF02520|CNI01900|CNJ00670|CNM00110|CNC02800|CNI01060|CNN01800|CNE02810|CNE03310|CNE04140|CNE04710|CNB00200|CNB05340|CNC05120|CNA00760|CNB00250|CNC01870|CNE02590|CNG00280|CNG02370|CNG03590|CNH01430|CNJ02050|CNJ03280|CNF03320|CNK00420|CNK00740|CNC01370|CNF03730|CNH03600|CNI00670|CNN00820|CNB02860|CNG00720|CNG01105|CNA04950|CNG02010|CNG02060|CNB02830|CNC00500|CNC02820|CNC05710|CNG02770|CND03120|CNE01670|CNG01700|CNH02690|CNJ01380|CNB00450|CNG03650|CND06280|CNF00670|CNG00800|CNG04380|CNA03820|CNI02150|CNA05950|CNI04340|CNB04270|CNC04270|CNH00280|CNC06160|CND05970|CNE03090|CNE04150|CNE04595|CNF00550|CNF02620|CNH00130|CNH00715|CNH00410|CNI04200|CNK00950|CNK02080|CNL05330|CNL06320|CNA00790|CNA08280|CNC02010|CND02660|CNH02400|CNH02460|CNH02470|CNH02710|CNF01680|CNH03230|CNL06350|CND04940|CND05300|CNF01810|CNG02350|CNI01120|CNJ02640|CNK02890|CND00130|CNA02240|CNA04140|CNE02870|CNI00050|CNB04410|CNE01870|CNA00090|CNA02220|CNA03160|CNA05400|CNA07590|CNC02570|CNJ00090|CNA08360|CNB03050|CNC00010|CNJ00650|CNC01770|CNN00090|CNN01880|CNC06110|CNJ01590|CND03220|CNJ02290|CNA01290|CNK00460|CND05500|CNF04910|CNG01500|CNG04690|CNH00060|CNK01970|CNI02920|CNI03430|CNI03670|CNI04230|CNA03460|CNJ02650|CNK02595|CNA03780|CNJ03360|CNL03890|CNN01500|CNN02440|CNC01760|CNC05820|CNJ00840|CNK00570|CNL04620|CND03670|CNE00310|CNL04720|CNE04260|CNA07420|CNL05410|CNB00340|CNB00610|CNB01130|CNM02050|CNN00120|CNN00700|CNN00830|CNB03110|CNA01540|CND03780|CND04200|CNG03270|CNI01730|CNL05200|CND04240|CNN01780|CNC03940|CND05090|CNE01810|CNA01840|CNB04100|CNB01260|CNB04640|CNC04880|CND00460|CNE00590|CNE01200|CNF02230|CNH01340|CNM01320|CNN00480|CNA05930|CNA05935|CNA07030|CNB05580|CNA07530|CNA08230|CNB00040|CNB00540|CNB03080|CNC00100|CNB01060|CNB01090|CNB02750|CNC00240|CNB05270|CNB05450|CNC02190|CNC02340|CNC05910|CNC06360|CNC01375|CND02790|CND04480|CND05510|CNE02190|CNE03760|CNC01960|CNF04700|CNG01210|CNG02245|CNG02250|CNG02830|CNG02910|CNG03720|CNH02180|CNI01530|CNI01790|CNI02850|CNL04010|CNM00140|CNM00160|CNN00950|CNA02480|CNC03650|CNN01370|CNA06360|CNB02220|CNA07490|CNB02570|CNB05130|CNC04220|CNB05160|CNC05560|CNC01420|CND02475|CNA04300|CNC04020|CNC03070|CNC06340|CND01790|CNE03920|CNC04520|CND02300|CNH02040|CND02470|CNA06840|CND02940|CNE01710|CNE03320|CNE03520|CNA03390|CNF00090|CNF03010|CNC05030|CNF04820|CNI01820|CNI03970|CNJ00110|CNJ01990|CNJ02130|CNK00110|CNN01050|CNC06740,281,0,0.08,0.7209,-0.5964,-1.9035,-1
4640,GO:0042254,GO:0042254,FALSE,GO:0042254,ribosome biogenesis,ENR,CNA02760|CND02650|CND02710|CND02780|CND02860|CNF01240|CND03550|CNE04980|CND00800|CNF01580|CNE01090|CNE01440|CNJ00230|CNJ02260|CNJ03110|CNL05120|CNE04710|CNB00200|CNB05340|CNC05120|CNF03320|CNA05860|CNA06180|CNA07310|CNA07990|CNC02150|CNA08220|CNA04950|CNB00600|CNA06470|CNB01910|CNH00700|CNB02360|CNK01450|CNB02830|CNB03680|CNC00350|CNC00500|CNC01060|CNC01630|CNC00790|CNC02820|CNC01210|CNC03010|CNC05360|CNC03480|CNC05710|CNC06990|CNG02770|CND03120|CND05450|CNE01670|CNE03060|CNG00300|CNG01700|CNG02920|CNH02690|CNJ01380|CNJ03370|CND02550|CNK02240|CNB00450|CNG03650|CNC06100|CND02960|CND06280|CND05640|CNF00670|CNF01650|CNF03840|CNG00800|CNG02740|CNG04380|CNI02150|CNI04340|CNF02580|CNK01950|CNH00280|CNK03230|CNG01950|CNH01320|CNA00790|CNA08280|CNI01830|CNC02010|CNI02510|CND02660|CNH02400|CNB05030|CNH02460|CNH02470|CNF01680|CNF01790|CNL06350|CNK01340|CND04940|CND05300|CNF01810|CNG02350|CNI01120|CNJ02640|CNK02890|CNM02290|CNA00090|CNA02220|CNA03160|CNA05400|CNA06980|CNA07330|CNC00330|CNC01470|CNA07590|CNC02570|CNJ00090|CNA08360|CND03210|CND04460|CNE02890|CNB03050|CNF04670|CNG01660|CNG02750|CNG04080|CNC00010|CNI03640|CNJ00650|CNC01770|CNK01600|CNN00090|CNN01880|CNC06110|CNJ01590|CNF02550|CND03220|CNJ02290|CNA01290|CNK00460|CNF04910|CNG01500|CNG04690|CNH00060|CNI02920|CNI03430|CNI03670|CNJ02650|CNK02595|CNA03780|CNJ03360|CNL03890|CNN01500|CNN02440|CNL04620|CNL04720|CNA07420|CNB00340|CNB00610|CNM02050|CNN00120|CNN00700|CNB03110|CNA01540|CND03780|CND04200|CNG03270|CNI01730|CNL05200|CND04240|CNN01780|CNC03940|CND05090|CNE01810|CNA01840|CNB04100|CNB01260|CNB04640|CNC04880|CND00460|CNE00590|CNE01200|CNF02230|CNH01340|CNM01320|CNN00480|CNA05930|CNA05935|CNA07030|CNB05580|CNA07530|CNA08230|CNB00040|CNB00540|CNB03080|CNC00100|CNB01060|CNB01090|CNB02750|CNC00240|CNB05270|CNB05450|CNC02190|CNC02340|CNC05910|CNC06360|CND02790|CND04480|CND05510|CNE02190|CNE03760|CNC01960|CNF04700|CNG01210|CNG02245|CNG02250|CNG02830|CNG02910|CNG03720|CNH02180|CNI01530|CNI01790|CNI02850|CNL04010|CNM00140|CNM00160|CNN00950|CNA02480|CNN01370|CNA00950|CNA06360|CNB02220|CNA07490|CNB02570|CNB05130|CNC04220|CNB05160|CNC05560|CNC01420|CND02475|CNA04300|CNC04020|CNC03070|CNC06340|CND01790|CNE03920|CNC04520|CND02300|CNH02040|CND02470|CNA06840|CND02940|CNE01050|CNE01710|CNE03320|CNE03520|CNF00090|CNF03010|CNA00330|CNF04820|CNI01820|CNI03970|CNJ00110|CNJ01990|CNJ02130|CNK00110|CNN01050|CNA07980|CNB05550|CNB04500,267,0,0.0274,0.1781,-0.6432,-2.0738,-1
4641,GO:0004386,GO:0004386,FALSE,GO:0004386,helicase activity,ENR,CND00630|CNC06510|CNM01980|CNM02050|CNE01490|CNM01820|CNN01100|CNK01830|CNB01640|CND02650|CNA05570|CNA06980|CNC02960|CNA05940|CNA06640|CNC02830|CNB05090|CNA07200|CNB02210|CNF01240|CNJ00220|CNB01970|CNI02710|CNH02480|CNA01540|CNB05040|CNC02390|CND05090|CND00900|CNJ01590|CND06010|CNA00900|CNE00590|CNA08010|CNE02430|CNB05350|CNH02690|CNA07030|CNB04510|CNC04970|CNG03650|CNC00100|CNF03920|CNB01060|CNF04330|CNG01650|CNC02340|CNC06360|CND06190|CNG02090|CNG02380|CNH00280|CNA02850|CNK02030|CNH00610|CNC03180|CNI02850|CNA03560|CNK03090|CNC03680|CNA07620|CNA07860|CNE03980|CNH02470|CNI01000|CNA00990|CNA06840|CNE04710|CNL04590|CNE05150|CNB01380|CNC04645|CNI03620|CNA07420|CNB01550|CNC06460|CNI00970|CNB05360|CNC04400|CND00110|CNF01550|CNI01550|CNL04770|CNG02235|CNI01880|CNM01670|CNB00610,87,0.0346,0.1584,0.9998,-0.5425,-1.6001,-0.9654
4642,GO:0042255,GO:0042255,FALSE,GO:0042255,ribosome assembly,ENR,CNK03230|CNC02150|CNA04950|CNA06470|CNJ00650|CNB01910|CNB02360|CNB02830|CNC00350|CNC00500|CNC01060|CNC01630|CNA00330|CNC02820|CNC03010|CNC05360|CNC05710|CNC06990|CND03120|CND05450|CNE04980|CNE01670|CNE03060|CNG00300|CNG01700|CNG02920|CNH02690|CNJ01380|CNJ03370|CNK02240|CNB00450|CNC06100|CND02960|CNB01090|CND06280|CNK00460|CNF00670|CNF01650|CNF03840|CNG00800|CNG02740|CNB05550|CNG04380|CNI02150|CNI04340|CNK01950,46,0,0.0217,0.1139,-0.7665,-2.1025,-1
4643,GO:1902679,GO:1902679,FALSE,GO:1902679,negative regulation of RNA biosynthetic process,ENR,CNA06620|CNA06550|CNE01490|CNH00290|CND03645|CNL04080|CNF01870|CNL05000|CNI04110|CNG00240|CNC05330|CNA07200|CNI03050|CNM01520|CNN00500|CNI03280|CND03210|CND03540|CNF04670|CNG01430|CNN00550|CNB03160|CND04520|CNF01960|CNG02110|CND04550|CND05540|CNA03840|CNB04370|CNA03420|CNA08010|CNA00400|CNG03620|CNA01820|CNB04890|CNA06710|CNB03080|CNB03300|CNC00780|CNC02990|CNC01750|CNC05810|CNC05900|CND01430|CND03250|CND03730|CND05440|CNE01280|CNE01590|CNE02030|CNE04500|CNE05010|CNE05140|CNF01160|CNF01740|CNF02900|CNH03370|CNJ00250|CNJ00280|CND05810|CNI02950|CNI03430|CNJ02920|CNK00090|CNK02070|CNK03060|CNK03070|CNM00930|CNE03830|CNK03050|CNF02840|CNA05430|CNG01230|CNE04710|CNA06070|CNC05020|CNC05310|CNK02230|CNF01810|CNB05360|CNF01550|CNM01210|CND01880|CNB00550,84,0.0025,0.0755,0.6619,-0.6674,-1.9252,-0.9975
4644,GO:0006323,GO:0006323,FALSE,GO:0006323,DNA packaging,ENR,CNE04500|CNG01400|CND04050|CNA06550|CNI02950|CND03645|CNL04080|CNL05000|CNL06800|CNE03830|CNC05330|CNI03050|CNM01520|CNI03280|CND03540|CNH02010|CNF02840|CNG01230|CNA03600|CNA00540|CNG04180|CNC05310|CNA06970|CNA05290|CNB00560|CNA06590|CNB00570|CNB05610|CNB02030|CNC00880|CNC01110|CNA00750|CNC01610|CNE04440|CNJ02540|CNB05360|CNG03620|CNL05670|CND01850|CNC00780|CND05500|CNC01750|CNE00970|CNF01550|CNM01210|CNK02970,46,0.012,0.0944,0.7978,-0.7017,-1.8664,-0.988
4645,GO:0005874,GO:0005874,FALSE,GO:0005874,microtubule,ENR,CNF04210|CNA02470|CNA02860|CNA06610|CNA01600|CND05670|CNC00810|CNC01510|CND04450|CND05430|CNC01750|CNE02525|CNB00740|CNB02000|CNB02810|CNB04790|CNE04540|CND01810|CNB03235|CNC02405|CNF04200|CNC03260|CNC06070|CND02590|CND04050|CNB02110|CND04390|CNE04830|CNE05100|CNF00790|CNF02260|CNF01970|CNL04520|CNE01760|CNN00650|CNG01340|CNI02480|CNM00140|CNG02140|CNI03800|CNJ01400|CNK00640|CNM01460|CNL06670|CNN00810|CNJ01990|CNH02000|CND02360|CNK00170,49,0.0313,0.1558,0.9996,-0.5774,-1.6098,-0.9687
4646,GO:0005753,GO:0005753,FALSE,GO:0005753,mitochondrial proton-transporting ATP synthase complex,ENR,CND01180|CNC05260|CNB04580|CNG02790|CNC05720|CND03280|CNE00750|CNC03840|CNA05160|CNB00330|CNF00570|CNC00990|CND00340,13,0.008,0.1403,0.9741,-0.7989,-1.7241,-0.992
4647,GO:0000463,GO:0000463,FALSE,GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",ENR,CNB01260|CNB04640|CND00460|CND03120|CNE00590|CNE01670|CNF02230|CNF01810|CNM01320|CNN00480|CNA06360|CNA07490|CNB02570|CNB01060|CNC04220|CNC05560|CND02475|CND04240,18,0.0178,0.1378,0.9945,-0.7291,-1.6701,-0.9822
