"","1_1ReadsPerGene.out.tab","1_2ReadsPerGene.out.tab","1_3ReadsPerGene.out.tab","2_1ReadsPerGene.out.tab","2_2ReadsPerGene.out.tab","2_3ReadsPerGene.out.tab","3_1ReadsPerGene.out.tab","3_2ReadsPerGene.out.tab","3_3ReadsPerGene.out.tab","4_1ReadsPerGene.out.tab","4_2ReadsPerGene.out.tab","4_3ReadsPerGene.out.tab","5_1ReadsPerGene.out.tab","5_2ReadsPerGene.out.tab","5_3ReadsPerGene.out.tab","6_1ReadsPerGene.out.tab","6_2ReadsPerGene.out.tab","6_3ReadsPerGene.out.tab","7_1ReadsPerGene.out.tab","7_2ReadsPerGene.out.tab","7_3ReadsPerGene.out.tab","8_1ReadsPerGene.out.tab","8_2ReadsPerGene.out.tab","8_3ReadsPerGene.out.tab"
"CNAG_04548",3,11,3,1,5,4,3,4,2,5,1,3,8,3,5,3,9,3,3,6,1,6,3,4
"CNAG_07303",0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"CNAG_07304",29,44,22,35,22,17,19,49,44,31,29,7,23,25,19,29,32,24,27,13,46,25,20,10
"CNAG_00001",1,0,0,0,1,2,0,3,1,2,1,3,3,2,2,4,1,4,0,1,1,3,1,7
"CNAG_07305",34,17,10,25,21,17,28,19,24,9,21,7,9,12,18,14,11,7,28,12,10,12,6,16
"CNAG_00002",445,375,425,423,479,473,454,604,491,392,352,172,205,168,179,225,269,184,226,254,262,261,152,148
"CNAG_00003",425,410,379,420,434,464,376,508,482,383,404,153,393,452,434,385,364,318,315,296,349,224,193,197
"CNAG_00004",806,743,656,756,743,801,649,791,841,879,700,298,724,683,653,760,779,591,674,545,542,545,378,414
"CNAG_00005",0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"CNAG_12000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNAG_12001",15,12,13,15,20,9,21,44,21,24,22,21,40,34,42,15,31,14,30,30,32,35,14,20
"CNAG_00006",5650,5308,4734,4478,4510,4028,3993,5561,5642,5510,4570,1700,4574,4815,4850,4870,5691,4922,4204,4356,4416,5499,3727,4442
"CNAG_00007",4144,3499,3437,3903,4063,3803,3220,4505,4235,3897,3467,1269,2322,2525,2199,2951,3231,2746,2887,2937,3178,2737,2012,2326
"CNAG_00008",2266,2164,1912,2158,2100,2184,1805,2377,2233,2154,2063,687,1862,1937,1410,2178,2219,1952,1557,1612,1739,1556,1169,1341
"CNAG_00009",1235,1213,1109,1001,1075,1073,887,1119,1169,992,984,334,942,1009,849,1130,1089,1054,818,778,868,880,593,747
"CNAG_00010",1844,1516,1506,1766,1991,2149,1543,1763,1774,1526,1305,440,3592,4265,2896,4336,4402,3912,2862,2995,3064,2339,1746,2199
"CNAG_00011",464,447,366,381,339,292,489,744,657,691,596,198,1496,1612,1240,1431,1374,1297,1194,1231,1243,1194,837,949
"CNAG_00012",1741,1572,1333,1285,1236,1277,1060,1434,1419,1465,1192,440,1951,2153,1735,1764,2113,1803,1323,1342,1502,1572,1183,1367
"CNAG_00013",850,913,643,677,620,530,710,825,876,787,658,227,687,723,653,658,690,620,630,812,692,785,565,608
"CNAG_00014",269,217,222,220,239,234,228,313,313,342,251,87,230,281,218,203,254,257,221,245,210,201,181,240
"CNAG_00015",148,162,139,65,87,99,125,212,156,149,134,54,357,343,318,205,191,161,184,183,172,146,84,115
"CNAG_00016",2945,2794,2408,2730,2810,2498,2153,2954,2972,2345,2117,810,1702,1716,1454,2064,2018,1761,1813,1925,2013,1830,1447,1681
"CNAG_00017",293,269,232,243,306,276,280,351,322,356,381,102,422,405,256,368,416,350,389,362,355,289,207,259
"CNAG_12002",12,8,8,5,8,6,10,7,17,8,9,4,4,13,4,3,1,7,9,7,5,3,10,10
"CNAG_00018",2759,2552,2329,2368,2365,2363,1780,2391,2127,2195,1932,691,2784,3141,2388,3219,3424,3213,2494,2538,2903,2511,1778,2131
"CNAG_00019",1733,1906,1666,1651,2141,2051,1482,2003,1792,1800,1486,580,1565,1638,1375,1793,1899,2026,1685,1761,1831,2031,1341,1258
"CNAG_00020",716,708,699,573,629,663,552,738,711,789,645,231,643,807,435,797,852,843,624,595,732,582,505,596
"CNAG_12003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNAG_00021",236,241,231,237,263,319,231,273,229,213,172,57,142,179,140,326,291,257,178,182,246,200,140,179
"CNAG_12004",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNAG_00022",1392,1391,1231,1225,1567,1506,1027,1416,1278,1350,1003,519,2820,2896,2781,3503,3616,3239,2311,2629,2663,2881,1644,1967
"CNAG_00023",98,83,103,86,114,89,158,212,292,318,253,42,204,199,197,193,145,159,187,178,168,125,90,108
"CNAG_00024",8671,7518,7280,7030,7942,8085,6087,7450,7209,7067,5666,2288,6180,6470,5413,9311,10476,9378,6940,6892,7940,8164,6593,7786
"CNAG_00025",1343,1356,1139,1182,1210,1067,1310,1740,1671,1793,1472,489,1770,1899,1420,1987,2077,1778,1524,1365,1591,1215,932,1061
"CNAG_00026",6464,6013,5669,6789,7852,7926,6851,8420,8000,6332,5601,2268,6472,6830,5489,7998,8737,7197,5636,5810,6608,5190,4331,4724
"CNAG_00027",1247,1046,989,949,918,948,879,1287,1273,1262,1097,376,907,945,693,856,888,858,828,832,879,767,596,695
"CNAG_00028",761,865,659,663,666,730,471,606,602,588,561,177,488,615,437,508,469,439,354,402,438,370,244,278
"CNAG_00029",185,201,152,162,184,167,107,211,192,162,139,51,207,215,182,194,207,144,197,187,203,182,122,151
"CNAG_00030",132,147,120,122,118,103,86,94,98,98,80,36,113,165,111,114,126,147,67,44,52,71,44,61
