"Gene ID","source_id","Organism","Input Ortholog(s)","Gene Name or Symbol"
"CNA00010","CNA00010-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_02013,CNAG_06526,CNAG_06801,CNAG_07000","N/A"
"CNA00020","CNA00020-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00011","N/A"
"CNA00030","CNA00030-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00010","N/A"
"CNA00040","CNA00040-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00009,CNAG_03152","N/A"
"CNA00050","CNA00050-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00008","N/A"
"CNA00060","CNA00060-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00007","N/A"
"CNA00070","CNA00070-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00006","N/A"
"CNA00080","CNA00080-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00015","N/A"
"CNA00090","CNA00090-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00016","N/A"
"CNA00100","CNA00100-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00017","N/A"
"CNA00110","CNA00110-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00018","FZC6"
"CNA00120","CNA00120-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00019","TIM9"
"CNA00130","CNA00130-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00020","N/A"
"CNA00140","CNA00140-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00021","N/A"
"CNA00150","CNA00150-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00022,CNAG_05875","N/A"
"CNA00160","CNA00160-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00023","N/A"
"CNA00160","CNA00160-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00023","N/A"
"CNA00170","CNA00170-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00024","N/A"
"CNA00170","CNA00170-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00024","N/A"
"CNA00170","CNA00170-t26_3","Cryptococcus neoformans var. neoformans JEC21","CNAG_00024","N/A"
"CNA00180","CNA00180-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00025","VCX1"
"CNA00180","CNA00180-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_00025","VCX1"
"CNA00190","CNA00190-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00026","N/A"
"CNA00200","CNA00200-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00027","N/A"
"CNA00210","CNA00210-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00028,CNAG_02540,CNAG_06204","N/A"
"CNA00220","CNA00220-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00029,CNAG_00774","N/A"
"CNA00225","CNA00225-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00030","N/A"
"CNA00230","CNA00230-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00031,CNAG_06425","MLR1"
"CNA00240","CNA00240-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00032,CNAG_01079,CNAG_01776,CNAG_02599","N/A"
"CNA00250","CNA00250-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00034","RPL9B"
"CNA00260","CNA00260-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00035","N/A"
"CNA00270","CNA00270-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00036,CNAG_03153","SEC14-2"
"CNA00280","CNA00280-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00038","N/A"
"CNA00290","CNA00290-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00039","ZFC6"
"CNA00300","CNA00300-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00040","ERG11"
"CNA00310","CNA00310-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_07308","N/A"
"CNA00310","CNA00310-t26_2","Cryptococcus neoformans var. neoformans JEC21","CNAG_07308","N/A"
"CNA00320","CNA00320-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00043","N/A"
"CNA00330","CNA00330-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00044","N/A"
"CNA00340","CNA00340-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00045","N/A"
"CNA00350","CNA00350-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00046","N/A"
"CNA00360","CNA00360-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00047,CNAG_04108","PKP1"
"CNA00370","CNA00370-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00048,CNAG_01862,CNAG_06485","N/A"
"CNA00380","CNA00380-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00049","N/A"
"CNA00390","CNA00390-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00050","N/A"
"CNA00400","CNA00400-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00051","SNT1"
"CNA00410","CNA00410-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00052","N/A"
"CNA00420","CNA00420-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00053","N/A"
"CNA00430","CNA00430-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00054","N/A"
"CNA00460","CNA00460-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00056","N/A"
"CNA00470","CNA00470-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00057","N/A"
"CNA00480","CNA00480-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00058,CNAG_02710","N/A"
"CNA00485","CNA00485-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00059","N/A"
"CNA00490","CNA00490-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00060","N/A"
"CNA00510","CNA00510-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00061","CIT1"
"CNA00520","CNA00520-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00151","N/A"
"CNA00530","CNA00530-t26_1","Cryptococcus neoformans var. neoformans JEC21","CNAG_00062","N/A"
